Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
132,US-2018-164147,02/02/2018,05/02/2018,First Class,DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229.0,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304
3764,CA-2017-156251,13/08/2017,18/08/2017,Second Class,TS-21160,Theresa Swint,Corporate,United States,West Allis,Wisconsin,53214.0,Central,OFF-BI-10003529,Office Supplies,Binders,Avery Round Ring Poly Binders,8.52
3230,CA-2015-154641,11/08/2015,16/08/2015,Standard Class,KL-16645,Ken Lonsdale,Consumer,United States,New York City,New York,10035.0,East,OFF-ST-10004459,Office Supplies,Storage,Tennsco Single-Tier Lockers,375.34
7615,CA-2016-113740,24/08/2016,28/08/2016,Second Class,SC-20380,Shahid Collister,Consumer,United States,New York City,New York,10035.0,East,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",14.91
6609,CA-2017-148852,26/05/2017,31/05/2017,Standard Class,SV-20785,Stewart Visinsky,Consumer,United States,Santa Ana,California,92704.0,West,TEC-MA-10002428,Technology,Machines,Fellowes Powershred HS-440 4-Sheet High Security Shredder,371.976
276,CA-2018-118136,16/09/2018,17/09/2018,First Class,BB-10990,Barry Blumstein,Corporate,United States,Inglewood,California,90301.0,West,OFF-AR-10001427,Office Supplies,Art,Newell 330,5.98
7321,CA-2018-100097,26/11/2018,29/11/2018,Second Class,MN-17935,Michael Nguyen,Consumer,United States,New York City,New York,10009.0,East,FUR-FU-10003623,Furniture,Furnishings,"DataProducts Ampli Magnifier Task Lamp, Black,",135.3
1507,CA-2018-154935,24/12/2018,29/12/2018,Standard Class,AR-10540,Andy Reiter,Consumer,United States,New York City,New York,10024.0,East,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",17.88
2798,CA-2018-158743,20/10/2018,27/10/2018,Standard Class,IG-15085,Ivan Gibson,Consumer,United States,Little Rock,Arkansas,72209.0,South,OFF-AR-10002257,Office Supplies,Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",13.36
7068,CA-2017-114209,21/05/2017,26/05/2017,Standard Class,AS-10285,Alejandro Savely,Corporate,United States,Dallas,Texas,75081.0,Central,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",1.964
1684,CA-2017-147585,07/11/2017,12/11/2017,Standard Class,CB-12535,Claudia Bergmann,Corporate,United States,San Francisco,California,94110.0,West,FUR-FU-10002597,Furniture,Furnishings,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",14.82
8514,CA-2018-141614,05/06/2018,09/06/2018,Standard Class,NS-18640,Noel Staavos,Corporate,United States,Orlando,Florida,32839.0,South,OFF-PA-10002787,Office Supplies,Paper,Xerox 227,20.736
5495,CA-2015-105249,28/11/2015,28/11/2015,Same Day,DH-13675,Duane Huffman,Home Office,United States,San Francisco,California,94122.0,West,FUR-BO-10000330,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",411.332
5133,CA-2016-123330,21/06/2016,27/06/2016,Standard Class,EP-13915,Emily Phan,Consumer,United States,Deltona,Florida,32725.0,South,TEC-PH-10001819,Technology,Phones,Innergie mMini Combo Duo USB Travel Charging Kit,107.976
6584,CA-2018-104731,21/07/2018,27/07/2018,Standard Class,AM-10705,Anne McFarland,Consumer,United States,Salem,Virginia,24153.0,South,OFF-AR-10003727,Office Supplies,Art,Berol Giant Pencil Sharpener,101.94
7803,CA-2016-102260,22/09/2016,26/09/2016,Standard Class,SJ-20125,Sanjit Jacobs,Home Office,United States,Franklin,Tennessee,37064.0,South,OFF-LA-10003714,Office Supplies,Labels,Avery 510,12.0
4497,CA-2018-112753,18/06/2018,23/06/2018,Standard Class,CC-12670,Craig Carreira,Consumer,United States,Los Angeles,California,90032.0,West,OFF-PA-10002036,Office Supplies,Paper,Xerox 1930,38.88
2749,CA-2016-110247,04/12/2016,08/12/2016,Standard Class,RH-19555,Ritsa Hightower,Consumer,United States,Tallahassee,Florida,32303.0,South,OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,8.226
5972,CA-2015-141726,20/07/2015,22/07/2015,First Class,CC-12145,Charles Crestani,Consumer,United States,San Diego,California,92105.0,West,FUR-FU-10003577,Furniture,Furnishings,Nu-Dell Leatherette Frames,43.02
3283,US-2015-117170,17/09/2015,24/09/2015,Standard Class,KT-16465,Kean Takahito,Consumer,United States,Raleigh,North Carolina,27604.0,South,OFF-PA-10000682,Office Supplies,Paper,Xerox 1924,4.624
2099,CA-2018-124401,07/09/2018,12/09/2018,Standard Class,RD-19900,Ruben Dartt,Consumer,United States,Portland,Oregon,97206.0,West,OFF-ST-10000649,Office Supplies,Storage,Hanging Personal Folder File,37.68
6205,CA-2018-145660,01/12/2018,03/12/2018,First Class,MG-17650,Matthew Grinstein,Home Office,United States,Marion,Ohio,43302.0,East,FUR-FU-10002885,Furniture,Furnishings,Magna Visual Magnetic Picture Hangers,7.712
723,CA-2017-142335,15/12/2017,19/12/2017,Standard Class,MP-17965,Michael Paige,Corporate,United States,Detroit,Michigan,48205.0,Central,OFF-ST-10000036,Office Supplies,Storage,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",296.37
6319,CA-2018-161459,25/11/2018,29/11/2018,Second Class,EB-13750,Edward Becker,Corporate,United States,Laguna Niguel,California,92677.0,West,TEC-PH-10004071,Technology,Phones,PayAnywhere Card Reader,39.96
6536,CA-2015-128209,17/11/2015,22/11/2015,Standard Class,GT-14710,Greg Tran,Consumer,United States,Buffalo,New York,14215.0,East,FUR-BO-10002213,Furniture,Bookcases,DMI Eclipse Executive Suite Bookcases,4007.84
1520,CA-2018-116204,11/02/2018,14/02/2018,Second Class,VW-21775,Victoria Wilson,Corporate,United States,San Francisco,California,94110.0,West,OFF-BI-10001759,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",21.336
5112,CA-2015-138450,18/10/2015,22/10/2015,Standard Class,EH-13765,Edward Hooks,Corporate,United States,Philadelphia,Pennsylvania,19134.0,East,OFF-PA-10003016,Office Supplies,Paper,"Adams ""While You Were Out"" Message Pads",10.048
1871,CA-2015-116932,21/07/2015,25/07/2015,Standard Class,ME-18010,Michelle Ellison,Corporate,United States,San Francisco,California,94122.0,West,OFF-AR-10002067,Office Supplies,Art,Newell 334,99.2
3904,CA-2016-167010,05/04/2016,10/04/2016,Standard Class,VT-21700,Valerie Takahito,Home Office,United States,Philadelphia,Pennsylvania,19143.0,East,OFF-AP-10004036,Office Supplies,Appliances,Bionaire 99.97% HEPA Air Cleaner,98.112
5260,CA-2018-158722,20/10/2018,26/10/2018,Standard Class,MA-17560,Matt Abelman,Home Office,United States,Philadelphia,Pennsylvania,19120.0,East,OFF-PA-10000176,Office Supplies,Paper,Xerox 1887,45.528
3818,CA-2016-102582,15/09/2016,19/09/2016,Standard Class,NW-18400,Natalie Webber,Consumer,United States,Mobile,Alabama,36608.0,South,TEC-PH-10003187,Technology,Phones,Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,59.97
